,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,,-additional
No.,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
6,James Conner,28,RB,13,13,208,1040,7,57,49.5,44,5.0,80.0,16.0,33,27,165,6.1,2,11,39.4,34,2.1,12.7,81.8%,5.0,235,5.1,1205,9,,ConnJa00
31,Emari Demercado,24,RB,14,2,58,284,2,12,43.1,49,4.9,20.3,4.1,30,21,119,5.7,0,4,30.0,22,1.5,8.5,70.0%,4.0,79,5.1,403,2,,DemeEm00
9,Joshua Dobbs,28,QB,8,8,47,258,3,19,48.9,44,5.5,32.3,5.9,,,,,0,,,,,,,,47,5.5,258,3,8,DobbJo00
1,Kyler Murray,26,QB,8,8,44,244,3,15,59.1,33,5.5,30.5,5.5,,,,,0,,,,,,,,44,5.5,244,3,7,MurrKy00
30,Keaontay Ingram,24,RB,8,1,35,74,0,4,20.0,14,2.1,9.3,4.4,4,4,26,6.5,0,1,50.0,9,0.5,3.3,100.0%,6.5,39,2.6,100,0,,IngrKe01
4,Rondale Moore,23,WR,17,8,28,178,1,5,46.4,45,6.4,10.5,1.6,62,40,352,8.8,1,17,38.7,48,2.4,20.7,64.5%,5.7,68,7.8,530,2,1,MoorRo02
22,Michael Carter,24,RB,6,0,22,149,0,7,45.5,21,6.8,24.8,3.7,11,9,33,3.7,1,1,36.4,8,1.5,5.5,81.8%,3.0,31,5.9,182,1,,CartMi03
29,Damien Williams,31,RB,3,0,11,43,0,1,54.5,9,3.9,14.3,3.7,2,2,12,6.0,0,0,50.0,8,0.7,4.0,100.0%,6.0,13,4.2,55,0,,WillDa05
15,Clayton Tune,24,QB,7,1,8,30,1,3,62.5,11,3.8,4.3,1.1,,,,,0,,,,,,,,8,3.8,30,1,2,TuneCl00
37,Tony Jones,26,RB,3,0,5,25,0,1,40.0,13,5.0,8.3,1.7,4,3,16,5.3,0,0,0.0,11,1.0,5.3,75.0%,4.0,8,5.1,41,0,,JoneTo04
2,Marquise Brown,26,WR,14,14,2,23,0,1,50.0,29,11.5,1.6,0.1,101,51,574,11.3,4,32,42.6,41,3.6,41.0,50.5%,5.7,53,11.3,597,4,,BrowMa04
83,Greg Dortch,25,WR,16,4,1,5,0,0,100.0,5,5.0,0.3,0.1,41,24,280,11.7,2,14,48.8,38,1.5,17.5,58.5%,6.8,25,11.4,285,2,,DortGr01
12,Blake Gillikin,25,P,13,0,1,10,0,1,100.0,10,10.0,0.8,0.1,,,,,0,,,,,,,,1,10.0,10,0,,GillBl00
47,Zeke Turner,27,LB,16,1,1,2,0,1,100.0,2,2.0,0.1,0.1,,,,,0,,,,,,,,1,2.0,2,0,,TurnZe00
85,Trey McBride,24,TE,17,12,,,0,,,,,,,106,81,825,10.2,3,42,57.5,38,4.8,48.5,76.4%,7.8,81,10.2,825,3,1,McBrTr01
14,Michael Wilson,23,WR,13,12,,,0,,,,,,,58,38,565,14.9,3,29,56.9,69,2.9,43.5,65.5%,9.7,38,14.9,565,3,,WilsMi02
86,Zach Ertz,33,TE,7,7,,,0,,,,,,,43,27,187,6.9,1,8,41.9,17,3.9,26.7,62.8%,4.3,27,6.9,187,1,,ErtzZa00
84,Elijah Higgins,23,TE,11,2,,,0,,,,,,,19,14,163,11.6,1,9,52.6,26,1.3,14.8,73.7%,8.6,14,11.6,163,1,,HiggEl00
87,Geoff Swaim,30,TE,14,8,,,0,,,,,,,11,10,94,9.4,0,4,72.7,26,0.7,6.7,90.9%,8.5,10,9.4,94,0,,SwaiGe00
0,Zach Pascal,29,WR,14,1,,,0,,,,,,,15,4,19,4.8,0,1,20.0,9,0.3,1.4,26.7%,1.3,4,4.8,19,0,,PascZa00
,Team Total,26.1,,17,,471,2365,17,127,47.6,49,5.0,139.1,27.7,540,355,3430,9.7,18,173,46.1,69,20.9,201.8,65.7%,6.4,826,7.0,5795,35,21,-9999